# ra, dec, l, b
260.010289853256268,-34.293617740270214,352.541242517035471,1.638595791980366
259.039513997362576,-47.283240552240642,341.481112687762845,-5.231932473642725
248.338110430105928,-22.179936805574815,355.914992973342635,17.151845549341811
209.992938278054027,-65.542168373955590,309.951757175952025,-3.608768725237678
246.730113209163335,-49.381700371701072,334.655621184511062,-0.257948933736008
211.161149414117574,-48.029645908190957,315.381466887171086,13.064628320913741
237.955331289968740,-50.662704899341300,329.639694973776670,2.612193883943594
271.162097700495565,-41.970318088316027,350.570232538715402,-9.833328577646771
250.408779651365279,-40.308518747563944,343.100950804933063,3.967153361909348
225.787434394744565,-38.109169777768031,329.631804244396903,17.840201527934472
229.316672403282183,-26.885056544954573,338.928699936880037,25.610604834237044
264.177222952251327,-30.255254687257445,357.855595175344149,0.945466259521984
263.346745233161528,-27.364068585971747,359.897137418558657,3.119429588613742
244.390745948573851,-28.592672177490297,348.456098619722525,15.539642515795689
212.254800344232450,-29.540103781323872,322.495875611013503,30.367386363581140
180.221333075033812,-49.782038809435420,294.619098061590933,12.272011208253963
179.450886744534557,-29.964172055657325,289.306095507709983,31.484511815667908
245.018409635245405,-24.234874911407822,352.186113118904927,18.101132520528108
230.044601550816623,-57.186080768226610,322.050712975102840,0.058089403253787
231.418685282278489,-39.028556160451053,332.969445168648463,14.684213026493905
245.328733123479424,-23.912564609157602,352.637553473021740,18.107616998483248
217.748535097214841,-42.307209208552997,321.911853384312906,16.865902619755239
244.968267722257423,-41.830255812741477,339.173474170902352,5.922110449697604
188.067185904061944,-59.086319174806903,300.466887890574640,3.693652620991392
163.558752598866448,-54.857153549522017,286.523929276968374,4.237118219813990
248.663112236651017,-22.438709370250610,355.908489565123318,16.755197611381583
216.286222142151445,-27.915498182466159,327.004637560894082,30.539008759903570
160.828995005463156,-69.997682264901272,292.322673803369696,-9.810776275698000
236.174721280083560,-24.210498093295193,346.076659374356325,23.803254458484876
240.480165430511164,-18.614852609303796,353.515883973116729,25.020909521995303
185.319123599468469,-49.105287996527537,297.863879767999435,13.469434870012744
244.149048404270218,-28.326869287649817,348.503051339815784,15.876925139487547
243.904693725985879,-37.852789849026742,341.411668452792526,9.323059298300755
195.816360733859398,-69.094001261537770,303.992932398481400,-6.246620800750860
232.572609191465290,-35.048807004442132,336.167850122170250,17.374649919655663
256.065142061666108,-26.926705571292850,356.553250345528113,8.697029326598145
244.340004374314958,-45.237456250065321,336.447510671252417,3.815039581188058
244.306778286643407,-46.271471217474549,335.708393560342643,3.090181727268636
257.289400964417496,-30.827569164416584,354.029604506427631,5.519677625305750
223.387914676104970,-53.510192430309985,320.587155930876122,5.123151482831598
261.716525638050712,-45.843152098883280,343.718219974763883,-5.941425238581208
219.907748156720885,-42.699430686589842,323.261892414063027,15.861022447509249
227.590352304275257,-66.323881369167324,316.261808910241143,-7.116546562775915
260.812790764767385,-42.767446473857198,345.920336892874730,-3.691237120590673
213.037030758419263,-31.019046417817375,322.635556444640144,28.746035876384628
245.885230898260232,-26.446109854182055,351.026996736242893,16.033397848523482
259.333541462635935,-30.459502867057893,355.358751094250636,4.305290587685485
226.504950191134384,-40.734501022144123,328.733307099137789,15.298955019198868
225.074723802005195,-62.700720095931096,317.110202392136614,-3.431440571568371
179.114653354808382,-65.330390130128549,297.232344827608415,-3.068838194918504
251.466630155726619,-21.303727544921490,358.527396997962455,15.441509850607929
256.377140086285067,-42.420536248536870,344.294730780519444,-0.837712024850317
188.702350230969103,-37.535187124770495,299.288838276579725,25.218910059305436
231.737787551279354,-28.146915440515190,339.992278494669449,23.315947618146105
242.125140200092801,-39.167098109736230,339.471337692637235,9.339173604303078
232.326161663588607,-27.319593323267835,340.993814305559454,23.650426525718078
250.563009783765722,-42.962229622512503,341.176410679729884,2.133465115381723
260.454206783528264,-30.691655219046982,355.719353450892243,3.380430251412723
249.817867489112899,-30.409485309029204,350.326660086528932,10.818476788793342
243.919223218412924,-16.967384178287347,357.269550272438948,23.700077669441406
247.401284579730202,-55.981607084307470,330.159177454602968,-5.111991723154316
247.978313801177478,-23.499762581497521,354.637326395683772,16.554614135863531
183.270641494930373,-62.604145893487974,298.536008116634378,-0.060216890819704
256.456221516919015,-52.138810199639501,336.541870995698673,-6.724648548969506
201.116696401484006,-68.181395108306589,306.005917407980462,-5.506997180036167
254.892651737987819,-39.588558522167411,345.851645235556134,1.779703356186276
232.404957349209468,-26.155163686341034,341.845320504256335,24.520230987213061
177.833342800664042,-33.294360499947167,288.735854784614958,27.915105157793128
166.277282411732074,-56.009477583844472,288.411295773181735,3.835288699052477
219.340310126240041,-25.355890415103431,331.180640072161964,31.641444228175768
228.203321011553896,-40.526727932562189,329.984089281663103,14.803455765637604
241.162240862466348,-29.073827364694619,346.023420544984276,17.207840577171698
239.065511242772487,-10.606527582105047,359.186329051889857,31.431451545846297
246.217975575666372,-52.086924200348896,332.490470192245823,-1.912435105018700
218.960311738003782,-32.650823385754748,327.113788319035621,25.272131298608482
262.299400092942676,-28.972964878491457,358.042572030507699,3.012886361211847
207.035778499557011,-39.986964466350692,314.575111006809607,21.599302224694789
212.675557622336072,-43.918738457596191,317.699700644315897,16.668357472975689
244.902827869404121,-17.970425701999432,357.109960004650929,22.334506930830102
230.615851780964363,-33.504703344187021,335.743615636966922,19.573821164848635
206.464474760553401,-54.936017401655491,310.758886326418633,7.106595677267376
232.342323105638968,-28.462248089244216,340.240804860018500,22.741128126024428
207.276443190347180,-52.709080420327766,311.721193791557823,9.175754658542878
177.518589272515584,-53.083701129563380,293.681470494671942,8.682369046626270
235.077766037754998,-24.153409756023336,345.296382148789746,24.508792193901243
242.723210249029478,-48.583115125442362,333.336857425773985,2.152955260786742
172.653350529740038,-63.068875842354835,293.928114257707307,-1.618728699047930
251.666451187328875,-51.164118128892440,335.452891002024330,-3.791823351768123
262.365920172554070,-44.268204093677404,345.294397723908844,-5.460748962408428
237.375320955904755,-15.324393830997607,353.868900095198342,29.441799200571488
240.677879929221746,-46.700073409983894,333.579607573332908,4.473583235791131
194.175751330872032,-62.157703396275046,303.546675359681160,0.707761819450684
165.283856731827115,-67.558583177283168,292.678232435200982,-6.909650468583175
232.084361633761546,-25.338279342070511,342.157159833406070,25.339206017125338
233.977716699455101,-66.296565482023126,318.435945396129284,-8.510061419382035
242.543513521156910,-48.340033545828547,333.414861377921000,2.412209784357530
241.380629142385317,-34.675150849971374,342.159622374341495,13.024142116823777
239.665536626443441,-24.487602048675839,348.390407641634113,21.430497953426887
210.678655614798060,-49.644806678993753,314.602624166641931,11.604940381428387
240.542212452718530,-64.249027419452077,321.894333285106882,-8.649183718108473
161.722058429868952,-62.955071694994395,289.308631011508055,-3.425745373537298
252.248518765030298,-35.347402786438437,347.838939767048089,6.075849140625716
221.632662365920453,-56.185089744554531,318.494081296284207,3.169339540047500
233.922703173749312,-56.596794457981837,324.134072351885322,-0.643920123179860
252.367948207268313,-54.446744570667974,333.197958384070091,-6.222864658970677
195.041645773971737,-61.439894209577041,303.975293967441246,1.414171425770359
215.955588934886066,-69.312173065249013,310.974420632491501,-7.895727887154716
261.813899636130600,-33.326299302448227,354.185729810629937,0.946940288220152
263.291968920608838,-45.928113664939410,344.245759376554702,-6.908391632601763
234.797291280147505,-37.481877404272431,336.122869863397113,14.352395205644921
220.465120401152603,-53.269939642800743,319.114593998265491,6.096715629285035
204.857527793863284,-36.241004667949973,313.648963913495038,25.630011899921662
220.247192601308058,-36.043483304372060,326.539882316501803,21.756249713152862
259.427006858207108,-36.284640067142419,350.637501599249788,0.884695018571735
184.314847436073649,-60.647533958462674,298.752899357913122,1.946591566231977
245.756665904815748,-37.463925699505090,342.736673019928787,8.556576230240921
162.744137734516443,-59.957315571592858,288.383049459270751,-0.532831688040833
190.122217883184589,-55.038172075261095,301.349138425167780,7.799925697796709
247.146826691186476,-33.290286597230747,346.601554047504067,10.601262190127072
248.747612081872745,-19.921075982982227,358.000272336403725,18.293443710366908
214.082295129373676,-31.881351047124205,323.231462512947644,27.622290620903975
229.470864513615879,-20.395800942504561,343.486657474047320,30.710043345180662
260.845221675614653,-37.308805373658743,350.445255433214811,-0.632394660834852
242.092831599704624,-22.284251417209855,351.755858604023388,21.397185578878712
241.352207658373402,-38.231318507833166,339.669153100485801,10.435332450179205
246.521433712736751,-59.023437540845819,327.614593477297944,-6.864657173938713
247.457480704798343,-34.204367845932381,346.096078261753519,9.792083642170427
236.573743061983805,-23.755257136716093,346.706063567172691,23.896935351430347
220.970344979546240,-51.914858915855383,319.966419389315035,7.198783613257943
252.976307735601551,-36.451704325487526,347.358223802018244,4.919106172551957
264.878921738437953,-41.641495539616223,348.512388884596817,-5.605180732808249
173.943190538423721,-51.151210224896801,291.016695988750143,9.961621373369994
165.280350803182984,-67.595012819455974,292.692237923380503,-6.943349226632272
227.017065736341124,-48.751481183546382,324.895812519500282,8.206098283718145
189.359546856848425,-68.594400910611284,301.648771686760938,-5.757537108329251
193.636723483466994,-42.411403994400246,303.544393055963724,20.456648751840575
247.641093548545030,-60.776620695304793,326.713787066939744,-8.474552171464000
237.661930553872168,-13.176295326725400,355.885659341760686,30.724943672538046
247.202700931470417,-27.198415358289598,351.262025059325083,14.656126520343483
159.848676654054856,-67.163942775341283,290.618454879723970,-7.504357360531637
235.986782688876929,-42.011136606428437,334.005033724948305,10.220892620711661
209.117938119364737,-62.618616860624812,310.330492972962645,-0.684766000084770
246.255811552339765,-17.120591790119754,358.708964283546322,21.896352633311061
